"Race","County","Candidate","Party","Votes"
"District Judge 6th Judicial District 1st Division Unexpired Term","Daviess","Misty L MILLER","Nonpartisan","20855"
"District Judge 6th Judicial District 1st Division Unexpired Term","Daviess","J Nick PAYNE","Nonpartisan","19881"
"District Judge 6th Judicial District 1st Division Unexpired Term","TotalVotes","Misty L MILLER","Nonpartisan","20855"
"District Judge 6th Judicial District 1st Division Unexpired Term","TotalVotes","J Nick PAYNE","Nonpartisan","19881"
