"Race","County","Candidate","Party","Votes"
"District Judge 22nd Judicial District 4th Division Unexpired Term","Fayette","Melissa Moore MURPHY","Nonpartisan","101347"
"District Judge 22nd Judicial District 4th Division Unexpired Term","TotalVotes","Melissa Moore MURPHY","Nonpartisan","101347"
