"Race","County","Candidate","Party","Votes"
"State Senator 35th Senatorial District","Jefferson","Denise Harper ANGEL","Democratic","37358"
"State Senator 35th Senatorial District","TotalVotes","Denise Harper ANGEL","Democratic","37358"
