"Race","County","Candidate","Party","Votes"
"State Senator 23rd Senatorial District","Kenton","Chris McDANIEL","Republican","32188"
"State Senator 23rd Senatorial District","Kenton","Ryan OLEXIA","Democratic","23623"
"State Senator 23rd Senatorial District","TotalVotes","Chris McDANIEL","Republican","32188"
"State Senator 23rd Senatorial District","TotalVotes","Ryan OLEXIA","Democratic","23623"
