"Race","County","Candidate","Party","Votes"
"State Senator 1st Senatorial District","Calloway","Jason G HOWELL","Republican","13666"
"State Senator 1st Senatorial District","Fulton","Jason G HOWELL","Republican","1914"
"State Senator 1st Senatorial District","Graves","Jason G HOWELL","Republican","13462"
"State Senator 1st Senatorial District","Hickman","Jason G HOWELL","Republican","1822"
"State Senator 1st Senatorial District","Lyon","Jason G HOWELL","Republican","3280"
"State Senator 1st Senatorial District","Trigg","Jason G HOWELL","Republican","5984"
"State Senator 1st Senatorial District","TotalVotes","Jason G HOWELL","Republican","40128"
