"Race","County","Candidate","Party","Votes"
"State Senator 33rd Senatorial District","Jefferson","Gerald A NEAL","Democratic","38520"
"State Senator 33rd Senatorial District","TotalVotes","Gerald A NEAL","Democratic","38520"
