"Race","County","Candidate","Party","Votes"
"State Senator 13th Senatorial District","Fayette","Reginald THOMAS","Democratic","36345"
"State Senator 13th Senatorial District","Fayette","Matt E MINIARD","WriteIn","55"
"State Senator 13th Senatorial District","TotalVotes","Reginald THOMAS","Democratic","36345"
"State Senator 13th Senatorial District","TotalVotes","Matt E MINIARD","WriteIn","55"
