"Race","County","Candidate","Party","Votes"
"State Senator 3rd Senatorial District","Christian","Whitney H WESTERFIELD","Republican","16264"
"State Senator 3rd Senatorial District","Christian","Amanda BILLINGS","Libertarian","5531"
"State Senator 3rd Senatorial District","Logan","Whitney H WESTERFIELD","Republican","9227"
"State Senator 3rd Senatorial District","Logan","Amanda BILLINGS","Libertarian","1832"
"State Senator 3rd Senatorial District","Todd","Whitney H WESTERFIELD","Republican","4149"
"State Senator 3rd Senatorial District","Todd","Amanda BILLINGS","Libertarian","794"
"State Senator 3rd Senatorial District","TotalVotes","Whitney H WESTERFIELD","Republican","29640"
"State Senator 3rd Senatorial District","TotalVotes","Amanda BILLINGS","Libertarian","8157"
