"Race","County","Candidate","Party","Votes"
"State Senator 25th Senatorial District","Clay","Robert STIVERS","Republican","6810"
"State Senator 25th Senatorial District","Knox","Robert STIVERS","Republican","11044"
"State Senator 25th Senatorial District","Lee","Robert STIVERS","Republican","2376"
"State Senator 25th Senatorial District","Owsley","Robert STIVERS","Republican","1582"
"State Senator 25th Senatorial District","Whitley","Robert STIVERS","Republican","13066"
"State Senator 25th Senatorial District","Wolfe","Robert STIVERS","Republican","2263"
"State Senator 25th Senatorial District","TotalVotes","Robert STIVERS","Republican","37141"
