"Race","County","Candidate","Party","Votes"
"State Senator 31st Senatorial District","Elliott","Phillip WHEELER","Republican","1957"
"State Senator 31st Senatorial District","Elliott","Glenn Martin HAMMOND","Democratic","939"
"State Senator 31st Senatorial District","Lawrence","Phillip WHEELER","Republican","5320"
"State Senator 31st Senatorial District","Lawrence","Glenn Martin HAMMOND","Democratic","1483"
"State Senator 31st Senatorial District","Martin","Phillip WHEELER","Republican","3344"
"State Senator 31st Senatorial District","Martin","Glenn Martin HAMMOND","Democratic","570"
"State Senator 31st Senatorial District","Morgan","Phillip WHEELER","Republican","3882"
"State Senator 31st Senatorial District","Morgan","Glenn Martin HAMMOND","Democratic","1494"
"State Senator 31st Senatorial District","Pike","Phillip WHEELER","Republican","17201"
"State Senator 31st Senatorial District","Pike","Glenn Martin HAMMOND","Democratic","7710"
"State Senator 31st Senatorial District","TotalVotes","Phillip WHEELER","Republican","31704"
"State Senator 31st Senatorial District","TotalVotes","Glenn Martin HAMMOND","Democratic","12196"
