"Race","County","Candidate","Party","Votes"
"Circuit Judge Family Court 30th Judicial Circuit 3rd Division Unexpired Term","Jefferson","Lori GOODWIN","Nonpartisan","137035"
"Circuit Judge Family Court 30th Judicial Circuit 3rd Division Unexpired Term","Jefferson","Ellie KERSTETTER","Nonpartisan","70880"
"Circuit Judge Family Court 30th Judicial Circuit 3rd Division Unexpired Term","Jefferson","Daren C NEEL","Nonpartisan","63309"
"Circuit Judge Family Court 30th Judicial Circuit 3rd Division Unexpired Term","TotalVotes","Lori GOODWIN","Nonpartisan","137035"
"Circuit Judge Family Court 30th Judicial Circuit 3rd Division Unexpired Term","TotalVotes","Ellie KERSTETTER","Nonpartisan","70880"
"Circuit Judge Family Court 30th Judicial Circuit 3rd Division Unexpired Term","TotalVotes","Daren C NEEL","Nonpartisan","63309"
