"Race","County","Candidate","Party","Votes"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","Lincoln","Teresa WHITAKER","Nonpartisan","6282"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","Lincoln","Walter F MAGUIRE","Nonpartisan","2215"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","Pulaski","Teresa WHITAKER","Nonpartisan","15459"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","Pulaski","Walter F MAGUIRE","Nonpartisan","10430"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","Rockcastle","Teresa WHITAKER","Nonpartisan","3971"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","Rockcastle","Walter F MAGUIRE","Nonpartisan","2300"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","TotalVotes","Teresa WHITAKER","Nonpartisan","25712"
"Circuit Judge 28th Judicial Circuit 1st Division Unexpired Term","TotalVotes","Walter F MAGUIRE","Nonpartisan","14945"
