"Race","County","Candidate","Party","Votes"
"Circuit Judge Family Court 42nd Judicial Circuit 2nd Division Unexpired Term","Calloway","Stephanie PERLOW","Nonpartisan","10667"
"Circuit Judge Family Court 42nd Judicial Circuit 2nd Division Unexpired Term","Calloway","Ryan R YATES","Nonpartisan","4148"
"Circuit Judge Family Court 42nd Judicial Circuit 2nd Division Unexpired Term","Marshall","Stephanie PERLOW","Nonpartisan","8626"
"Circuit Judge Family Court 42nd Judicial Circuit 2nd Division Unexpired Term","Marshall","Ryan R YATES","Nonpartisan","5110"
"Circuit Judge Family Court 42nd Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Stephanie PERLOW","Nonpartisan","19293"
"Circuit Judge Family Court 42nd Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Ryan R YATES","Nonpartisan","9258"
