"Race","County","Candidate","Party","Votes"
"US Representative 4th Congressional District","Boone","Thomas MASSIE","Republican","46330"
"US Representative 4th Congressional District","Boone","Alexandra OWENSBY","Democratic","19985"
"US Representative 4th Congressional District","Boyd","Thomas MASSIE","Republican","10732"
"US Representative 4th Congressional District","Boyd","Alexandra OWENSBY","Democratic","6086"
"US Representative 4th Congressional District","Bracken","Thomas MASSIE","Republican","3354"
"US Representative 4th Congressional District","Bracken","Alexandra OWENSBY","Democratic","843"
"US Representative 4th Congressional District","Campbell","Thomas MASSIE","Republican","29567"
"US Representative 4th Congressional District","Campbell","Alexandra OWENSBY","Democratic","18746"
"US Representative 4th Congressional District","Carroll","Thomas MASSIE","Republican","2872"
"US Representative 4th Congressional District","Carroll","Alexandra OWENSBY","Democratic","1181"
"US Representative 4th Congressional District","Gallatin","Thomas MASSIE","Republican","2931"
"US Representative 4th Congressional District","Gallatin","Alexandra OWENSBY","Democratic","873"
"US Representative 4th Congressional District","Grant","Thomas MASSIE","Republican","8705"
"US Representative 4th Congressional District","Grant","Alexandra OWENSBY","Democratic","2291"
"US Representative 4th Congressional District","Greenup","Thomas MASSIE","Republican","12842"
"US Representative 4th Congressional District","Greenup","Alexandra OWENSBY","Democratic","5018"
"US Representative 4th Congressional District","Harrison","Thomas MASSIE","Republican","4102"
"US Representative 4th Congressional District","Harrison","Alexandra OWENSBY","Democratic","1327"
"US Representative 4th Congressional District","Henry","Thomas MASSIE","Republican","5808"
"US Representative 4th Congressional District","Henry","Alexandra OWENSBY","Democratic","2173"
"US Representative 4th Congressional District","Jefferson","Thomas MASSIE","Republican","10080"
"US Representative 4th Congressional District","Jefferson","Alexandra OWENSBY","Democratic","6137"
"US Representative 4th Congressional District","Kenton","Thomas MASSIE","Republican","49983"
"US Representative 4th Congressional District","Kenton","Alexandra OWENSBY","Democratic","31424"
"US Representative 4th Congressional District","Lewis","Thomas MASSIE","Republican","5032"
"US Representative 4th Congressional District","Lewis","Alexandra OWENSBY","Democratic","783"
"US Representative 4th Congressional District","Mason","Thomas MASSIE","Republican","5623"
"US Representative 4th Congressional District","Mason","Alexandra OWENSBY","Democratic","2200"
"US Representative 4th Congressional District","Oldham","Thomas MASSIE","Republican","23970"
"US Representative 4th Congressional District","Oldham","Alexandra OWENSBY","Democratic","13578"
"US Representative 4th Congressional District","Owen","Thomas MASSIE","Republican","4267"
"US Representative 4th Congressional District","Owen","Alexandra OWENSBY","Democratic","1105"
"US Representative 4th Congressional District","Pendleton","Thomas MASSIE","Republican","5535"
"US Representative 4th Congressional District","Pendleton","Alexandra OWENSBY","Democratic","1321"
"US Representative 4th Congressional District","Shelby","Thomas MASSIE","Republican","15442"
"US Representative 4th Congressional District","Shelby","Alexandra OWENSBY","Democratic","7862"
"US Representative 4th Congressional District","Spencer","Thomas MASSIE","Republican","6287"
"US Representative 4th Congressional District","Spencer","Alexandra OWENSBY","Democratic","1895"
"US Representative 4th Congressional District","Trimble","Thomas MASSIE","Republican","3151"
"US Representative 4th Congressional District","Trimble","Alexandra OWENSBY","Democratic","1068"
"US Representative 4th Congressional District","TotalVotes","Thomas MASSIE","Republican","256613"
"US Representative 4th Congressional District","TotalVotes","Alexandra OWENSBY","Democratic","125896"
