"Race","County","Candidate","Party","Votes"
"State Representative 66th Representative District","Boone","C Ed MASSEY","Republican","17872"
"State Representative 66th Representative District","Boone","Roberto HENRIQUEZ","Democratic","6714"
"State Representative 66th Representative District","Boone","Cristi KENDRICK","Libertarian","1341"
"State Representative 66th Representative District","TotalVotes","C Ed MASSEY","Republican","17872"
"State Representative 66th Representative District","TotalVotes","Roberto HENRIQUEZ","Democratic","6714"
"State Representative 66th Representative District","TotalVotes","Cristi KENDRICK","Libertarian","1341"
