"Race","County","Candidate","Party","Votes"
"State Representative 1st Representative District","Ballard","Steven Jack RUDY","Republican","3664"
"State Representative 1st Representative District","Carlisle","Steven Jack RUDY","Republican","2271"
"State Representative 1st Representative District","Fulton","Steven Jack RUDY","Republican","1887"
"State Representative 1st Representative District","Hickman","Steven Jack RUDY","Republican","1843"
"State Representative 1st Representative District","McCracken","Steven Jack RUDY","Republican","8171"
"State Representative 1st Representative District","TotalVotes","Steven Jack RUDY","Republican","17836"
