"Race","County","Candidate","Party","Votes"
"State Representative 37th Representative District","Jefferson","Jeffery Martin DONOHUE","Democratic","8661"
"State Representative 37th Representative District","Jefferson","Jimmy MARICLE","Republican","7238"
"State Representative 37th Representative District","TotalVotes","Jeffery Martin DONOHUE","Democratic","8661"
"State Representative 37th Representative District","TotalVotes","Jimmy MARICLE","Republican","7238"
