"Race","County","Candidate","Party","Votes"
"State Representative 33rd Representative District","Jefferson","Jason NEMES","Republican","11827"
"State Representative 33rd Representative District","Jefferson","Margaret S PLATTNER","Democratic","10987"
"State Representative 33rd Representative District","Oldham","Jason NEMES","Republican","3359"
"State Representative 33rd Representative District","Oldham","Margaret S PLATTNER","Democratic","1874"
"State Representative 33rd Representative District","TotalVotes","Jason NEMES","Republican","15186"
"State Representative 33rd Representative District","TotalVotes","Margaret S PLATTNER","Democratic","12861"
