"Race","County","Candidate","Party","Votes"
"State Representative 54th Representative District","Boyle","Daniel B ELLIOTT","Republican","8882"
"State Representative 54th Representative District","Boyle","Lydia COFFEY","Democratic","5314"
"State Representative 54th Representative District","Casey","Daniel B ELLIOTT","Republican","5262"
"State Representative 54th Representative District","Casey","Lydia COFFEY","Democratic","1827"
"State Representative 54th Representative District","TotalVotes","Daniel B ELLIOTT","Republican","14144"
"State Representative 54th Representative District","TotalVotes","Lydia COFFEY","Democratic","7141"
