"Race","County","Candidate","Party","Votes"
"State Representative 89th Representative District","Jackson","Robert GOFORTH","Republican","4481"
"State Representative 89th Representative District","Jackson","Mike VanWINKLE","Democratic","1064"
"State Representative 89th Representative District","Jackson","Stacy C ABNER","WriteIn","100"
"State Representative 89th Representative District","Jackson","Philip Eric ROBINSON","WriteIn","0"
"State Representative 89th Representative District","Laurel","Robert GOFORTH","Republican","3808"
"State Representative 89th Representative District","Laurel","Mike VanWINKLE","Democratic","1102"
"State Representative 89th Representative District","Laurel","Stacy C ABNER","WriteIn","1"
"State Representative 89th Representative District","Laurel","Philip Eric ROBINSON","WriteIn","1"
"State Representative 89th Representative District","Madison","Robert GOFORTH","Republican","6706"
"State Representative 89th Representative District","Madison","Mike VanWINKLE","Democratic","3864"
"State Representative 89th Representative District","Madison","Stacy C ABNER","WriteIn","33"
"State Representative 89th Representative District","Madison","Philip Eric ROBINSON","WriteIn","0"
"State Representative 89th Representative District","TotalVotes","Robert GOFORTH","Republican","14995"
"State Representative 89th Representative District","TotalVotes","Mike VanWINKLE","Democratic","6030"
"State Representative 89th Representative District","TotalVotes","Stacy C ABNER","WriteIn","134"
"State Representative 89th Representative District","TotalVotes","Philip Eric ROBINSON","WriteIn","1"
