"Race","County","Candidate","Party","Votes"
"State Representative 83rd Representative District","Clinton","Joshua BRANSCUM","Republican","4422"
"State Representative 83rd Representative District","Cumberland","Joshua BRANSCUM","Republican","2717"
"State Representative 83rd Representative District","Pulaski","Joshua BRANSCUM","Republican","4550"
"State Representative 83rd Representative District","Russell","Joshua BRANSCUM","Republican","7809"
"State Representative 83rd Representative District","TotalVotes","Joshua BRANSCUM","Republican","19498"
