"Race","County","Candidate","Party","Votes"
"State Representative 96th Representative District","Carter","Patrick FLANNERY","Republican","8109"
"State Representative 96th Representative District","Carter","Kathy HINKLE","Democratic","3360"
"State Representative 96th Representative District","Lawrence","Patrick FLANNERY","Republican","4483"
"State Representative 96th Representative District","Lawrence","Kathy HINKLE","Democratic","2399"
"State Representative 96th Representative District","TotalVotes","Patrick FLANNERY","Republican","12592"
"State Representative 96th Representative District","TotalVotes","Kathy HINKLE","Democratic","5759"
