"Race","County","Candidate","Party","Votes"
"State Representative 47th Representative District","Carroll","Felicia RABOURN","Republican","2773"
"State Representative 47th Representative District","Carroll","Jack COUCH","Democratic","1295"
"State Representative 47th Representative District","Gallatin","Felicia RABOURN","Republican","2807"
"State Representative 47th Representative District","Gallatin","Jack COUCH","Democratic","943"
"State Representative 47th Representative District","Henry","Felicia RABOURN","Republican","5742"
"State Representative 47th Representative District","Henry","Jack COUCH","Democratic","2279"
"State Representative 47th Representative District","Trimble","Felicia RABOURN","Republican","2631"
"State Representative 47th Representative District","Trimble","Jack COUCH","Democratic","1646"
"State Representative 47th Representative District","TotalVotes","Felicia RABOURN","Republican","13953"
"State Representative 47th Representative District","TotalVotes","Jack COUCH","Democratic","6163"
