"Race","County","Candidate","Party","Votes"
"State Representative 11th Representative District","Daviess","Jonathan DIXON","Republican","1738"
"State Representative 11th Representative District","Daviess","Robert Rob WIEDERSTEIN","Democratic","867"
"State Representative 11th Representative District","Henderson","Jonathan DIXON","Republican","9087"
"State Representative 11th Representative District","Henderson","Robert Rob WIEDERSTEIN","Democratic","8356"
"State Representative 11th Representative District","TotalVotes","Jonathan DIXON","Republican","10825"
"State Representative 11th Representative District","TotalVotes","Robert Rob WIEDERSTEIN","Democratic","9223"
