"Race","County","Candidate","Party","Votes"
"State Representative 24th Representative District","Green","Brandon REED","Republican","4719"
"State Representative 24th Representative District","Green","Terry MILLS","Democratic","984"
"State Representative 24th Representative District","Larue","Brandon REED","Republican","5573"
"State Representative 24th Representative District","Larue","Terry MILLS","Democratic","1597"
"State Representative 24th Representative District","Marion","Brandon REED","Republican","4034"
"State Representative 24th Representative District","Marion","Terry MILLS","Democratic","4825"
"State Representative 24th Representative District","TotalVotes","Brandon REED","Republican","14326"
"State Representative 24th Representative District","TotalVotes","Terry MILLS","Democratic","7406"
