"Race","County","Candidate","Party","Votes"
"State Representative 99th Representative District","Elliott","Richard WHITE","Republican","1711"
"State Representative 99th Representative District","Elliott","William H Bill REDWINE","Democratic","1240"
"State Representative 99th Representative District","Lewis","Richard WHITE","Republican","4893"
"State Representative 99th Representative District","Lewis","William H Bill REDWINE","Democratic","887"
"State Representative 99th Representative District","Rowan","Richard WHITE","Republican","5497"
"State Representative 99th Representative District","Rowan","William H Bill REDWINE","Democratic","4502"
"State Representative 99th Representative District","TotalVotes","Richard WHITE","Republican","12101"
"State Representative 99th Representative District","TotalVotes","William H Bill REDWINE","Democratic","6629"
