"Race","County","Candidate","Party","Votes"
"State Representative 93rd Representative District","Martin","Norma KIRKMcCORMICK","Republican","3422"
"State Representative 93rd Representative District","Martin","Rod VARNEY","Democratic","476"
"State Representative 93rd Representative District","Pike","Norma KIRKMcCORMICK","Republican","5623"
"State Representative 93rd Representative District","Pike","Rod VARNEY","Democratic","4813"
"State Representative 93rd Representative District","TotalVotes","Norma KIRKMcCORMICK","Republican","9045"
"State Representative 93rd Representative District","TotalVotes","Rod VARNEY","Democratic","5289"
