"Race","County","Candidate","Party","Votes"
"State Representative 36th Representative District","Jefferson","Jerry T MILLER","Republican","19675"
"State Representative 36th Representative District","Jefferson","Jeff GRAMMER","Democratic","12834"
"State Representative 36th Representative District","Oldham","Jerry T MILLER","Republican","805"
"State Representative 36th Representative District","Oldham","Jeff GRAMMER","Democratic","459"
"State Representative 36th Representative District","TotalVotes","Jerry T MILLER","Republican","20480"
"State Representative 36th Representative District","TotalVotes","Jeff GRAMMER","Democratic","13293"
