"Race","County","Candidate","Party","Votes"
"State Representative 53rd Representative District","Anderson","James Allen TIPTON","Republican","9563"
"State Representative 53rd Representative District","Anderson","Dustin BURLEY","Democratic","3377"
"State Representative 53rd Representative District","Bullitt","James Allen TIPTON","Republican","1513"
"State Representative 53rd Representative District","Bullitt","Dustin BURLEY","Democratic","487"
"State Representative 53rd Representative District","Spencer","James Allen TIPTON","Republican","9011"
"State Representative 53rd Representative District","Spencer","Dustin BURLEY","Democratic","2262"
"State Representative 53rd Representative District","TotalVotes","James Allen TIPTON","Republican","20087"
"State Representative 53rd Representative District","TotalVotes","Dustin BURLEY","Democratic","6126"
