"Race","County","Candidate","Party","Votes"
"State Representative 61st Representative District","Boone","Savannah MADDOX","Republican","886"
"State Representative 61st Representative District","Boone","Debby Lucas ANGEL","WriteIn","0"
"State Representative 61st Representative District","Grant","Savannah MADDOX","Republican","8998"
"State Representative 61st Representative District","Grant","Debby Lucas ANGEL","WriteIn","201"
"State Representative 61st Representative District","Kenton","Savannah MADDOX","Republican","5738"
"State Representative 61st Representative District","Kenton","Debby Lucas ANGEL","WriteIn","41"
"State Representative 61st Representative District","Scott","Savannah MADDOX","Republican","4838"
"State Representative 61st Representative District","Scott","Debby Lucas ANGEL","WriteIn","37"
"State Representative 61st Representative District","TotalVotes","Savannah MADDOX","Republican","20460"
"State Representative 61st Representative District","TotalVotes","Debby Lucas ANGEL","WriteIn","279"
