"Race","County","Candidate","Party","Votes"
"State Representative 50th Representative District","Nelson","D Chad McCOY","Republican","16695"
"State Representative 50th Representative District","Nelson","Kory MILLER","Democratic","6074"
"State Representative 50th Representative District","TotalVotes","D Chad McCOY","Republican","16695"
"State Representative 50th Representative District","TotalVotes","Kory MILLER","Democratic","6074"
