"Race","County","Candidate","Party","Votes"
"State Representative 63rd Representative District","Boone","Kim BANTA","Republican","2370"
"State Representative 63rd Representative District","Boone","Ashley WILLIAMS","Democratic","1088"
"State Representative 63rd Representative District","Kenton","Kim BANTA","Republican","14974"
"State Representative 63rd Representative District","Kenton","Ashley WILLIAMS","Democratic","7199"
"State Representative 63rd Representative District","TotalVotes","Kim BANTA","Republican","17344"
"State Representative 63rd Representative District","TotalVotes","Ashley WILLIAMS","Democratic","8287"
