"Race","County","Candidate","Party","Votes"
"State Representative 42nd Representative District","Jefferson","Reginald K MEEKS","Democratic","17917"
"State Representative 42nd Representative District","TotalVotes","Reginald K MEEKS","Democratic","17917"
