"Race","County","Candidate","Party","Votes"
"State Representative 27th Representative District","Hardin","Nancy J TATE","Republican","2537"
"State Representative 27th Representative District","Hardin","Brian T CHISM","Democratic","2646"
"State Representative 27th Representative District","Meade","Nancy J TATE","Republican","8642"
"State Representative 27th Representative District","Meade","Brian T CHISM","Democratic","5352"
"State Representative 27th Representative District","TotalVotes","Nancy J TATE","Republican","11179"
"State Representative 27th Representative District","TotalVotes","Brian T CHISM","Democratic","7998"
