"Race","County","Candidate","Party","Votes"
"State Representative 87th Representative District","Bell","Adam BOWLING","Republican","8665"
"State Representative 87th Representative District","Harlan","Adam BOWLING","Republican","3916"
"State Representative 87th Representative District","TotalVotes","Adam BOWLING","Republican","12581"
