"Race","County","Candidate","Party","Votes"
"State Representative 49th Representative District","Bullitt","Thomas HUFF","Republican","15828"
"State Representative 49th Representative District","Bullitt","Jonathan CACCIATORE","Democratic","5339"
"State Representative 49th Representative District","Bullitt","Mitch RUSHING","Libertarian","639"
"State Representative 49th Representative District","TotalVotes","Thomas HUFF","Republican","15828"
"State Representative 49th Representative District","TotalVotes","Jonathan CACCIATORE","Democratic","5339"
"State Representative 49th Representative District","TotalVotes","Mitch RUSHING","Libertarian","639"
