"Race","County","Candidate","Party","Votes"
"State Representative 8th Representative District","Christian","Walker Wood THOMAS","Republican","5201"
"State Representative 8th Representative District","Christian","Pam DOSSETT","Democratic","5216"
"State Representative 8th Representative District","Trigg","Walker Wood THOMAS","Republican","2102"
"State Representative 8th Representative District","Trigg","Pam DOSSETT","Democratic","807"
"State Representative 8th Representative District","TotalVotes","Walker Wood THOMAS","Republican","7303"
"State Representative 8th Representative District","TotalVotes","Pam DOSSETT","Democratic","6023"
