"Race","County","Candidate","Party","Votes"
"State Representative 92nd Representative District","Knott","John C BLANTON","Republican","3636"
"State Representative 92nd Representative District","Knott","Ancel SMITH","Democratic","2473"
"State Representative 92nd Representative District","Magoffin","John C BLANTON","Republican","4296"
"State Representative 92nd Representative District","Magoffin","Ancel SMITH","Democratic","1137"
"State Representative 92nd Representative District","Pike","John C BLANTON","Republican","3515"
"State Representative 92nd Representative District","Pike","Ancel SMITH","Democratic","921"
"State Representative 92nd Representative District","TotalVotes","John C BLANTON","Republican","11447"
"State Representative 92nd Representative District","TotalVotes","Ancel SMITH","Democratic","4531"
