"Race","County","Candidate","Party","Votes"
"State Representative 69th Representative District","Boone","Adam KOENIG","Republican","4258"
"State Representative 69th Representative District","Boone","Ryan NEAVES","Democratic","2328"
"State Representative 69th Representative District","Boone","Bill MITCHELL","Libertarian","342"
"State Representative 69th Representative District","Kenton","Adam KOENIG","Republican","7462"
"State Representative 69th Representative District","Kenton","Ryan NEAVES","Democratic","4639"
"State Representative 69th Representative District","Kenton","Bill MITCHELL","Libertarian","542"
"State Representative 69th Representative District","TotalVotes","Adam KOENIG","Republican","11720"
"State Representative 69th Representative District","TotalVotes","Ryan NEAVES","Democratic","6967"
"State Representative 69th Representative District","TotalVotes","Bill MITCHELL","Libertarian","884"
