"Race","County","Candidate","Party","Votes"
"State Representative 74th Representative District","Menifee","David HALE","Republican","2221"
"State Representative 74th Representative District","Menifee","Jeff SPRADLING","Democratic","831"
"State Representative 74th Representative District","Montgomery","David HALE","Republican","9046"
"State Representative 74th Representative District","Montgomery","Jeff SPRADLING","Democratic","3558"
"State Representative 74th Representative District","Powell","David HALE","Republican","3963"
"State Representative 74th Representative District","Powell","Jeff SPRADLING","Democratic","1425"
"State Representative 74th Representative District","TotalVotes","David HALE","Republican","15230"
"State Representative 74th Representative District","TotalVotes","Jeff SPRADLING","Democratic","5814"
