"Race","County","Candidate","Party","Votes"
"State Representative 62nd Representative District","Fayette","Phillip R PRATT","Republican","466"
"State Representative 62nd Representative District","Fayette","David MAYO","Democratic","563"
"State Representative 62nd Representative District","Owen","Phillip R PRATT","Republican","4217"
"State Representative 62nd Representative District","Owen","David MAYO","Democratic","1119"
"State Representative 62nd Representative District","Scott","Phillip R PRATT","Republican","12787"
"State Representative 62nd Representative District","Scott","David MAYO","Democratic","6172"
"State Representative 62nd Representative District","TotalVotes","Phillip R PRATT","Republican","17470"
"State Representative 62nd Representative District","TotalVotes","David MAYO","Democratic","7854"
