"Race","County","Candidate","Party","Votes"
"State Representative 73rd Representative District","Clark","Ryan DOTSON","Republican","9506"
"State Representative 73rd Representative District","Clark","Kenny BLAIR","Democratic","5445"
"State Representative 73rd Representative District","Clark","Jada BRADY","WriteIn","2589"
"State Representative 73rd Representative District","Madison","Ryan DOTSON","Republican","2417"
"State Representative 73rd Representative District","Madison","Kenny BLAIR","Democratic","996"
"State Representative 73rd Representative District","Madison","Jada BRADY","WriteIn","0"
"State Representative 73rd Representative District","TotalVotes","Ryan DOTSON","Republican","11923"
"State Representative 73rd Representative District","TotalVotes","Kenny BLAIR","Democratic","6441"
"State Representative 73rd Representative District","TotalVotes","Jada BRADY","WriteIn","2589"
