"Race","County","Candidate","Party","Votes"
"State Representative 12th Representative District","Daviess","Jim GOOCH JR","Republican","2739"
"State Representative 12th Representative District","Daviess","Arthur Art McLAUGHLIN","Democratic","960"
"State Representative 12th Representative District","Hopkins","Jim GOOCH JR","Republican","5995"
"State Representative 12th Representative District","Hopkins","Arthur Art McLAUGHLIN","Democratic","1774"
"State Representative 12th Representative District","McLean","Jim GOOCH JR","Republican","3643"
"State Representative 12th Representative District","McLean","Arthur Art McLAUGHLIN","Democratic","1056"
"State Representative 12th Representative District","Webster","Jim GOOCH JR","Republican","4514"
"State Representative 12th Representative District","Webster","Arthur Art McLAUGHLIN","Democratic","1387"
"State Representative 12th Representative District","TotalVotes","Jim GOOCH JR","Republican","16891"
"State Representative 12th Representative District","TotalVotes","Arthur Art McLAUGHLIN","Democratic","5177"
