"Race","County","Candidate","Party","Votes"
"State Representative 6th Representative District","Lyon","Chris FREELAND","Republican","2753"
"State Representative 6th Representative District","Lyon","Al CUNNINGHAM","Democratic","1415"
"State Representative 6th Representative District","Marshall","Chris FREELAND","Republican","12703"
"State Representative 6th Representative District","Marshall","Al CUNNINGHAM","Democratic","4737"
"State Representative 6th Representative District","McCracken","Chris FREELAND","Republican","1106"
"State Representative 6th Representative District","McCracken","Al CUNNINGHAM","Democratic","335"
"State Representative 6th Representative District","TotalVotes","Chris FREELAND","Republican","16562"
"State Representative 6th Representative District","TotalVotes","Al CUNNINGHAM","Democratic","6487"
