"Race","County","Candidate","Party","Votes"
"State Representative 67th Representative District","Campbell","Rachel ROBERTS","Democratic","9009"
"State Representative 67th Representative District","Campbell","LeAnna HOMANDBERG","Republican","8034"
"State Representative 67th Representative District","Campbell","Mark SCHROER","WriteIn","174"
"State Representative 67th Representative District","TotalVotes","Rachel ROBERTS","Democratic","9009"
"State Representative 67th Representative District","TotalVotes","LeAnna HOMANDBERG","Republican","8034"
"State Representative 67th Representative District","TotalVotes","Mark SCHROER","WriteIn","174"
