"Race","County","Candidate","Party","Votes"
"State Representative 48th Representative District","Jefferson","Ken FLEMING","Republican","13594"
"State Representative 48th Representative District","Jefferson","Maria SOROLIS","Democratic","13819"
"State Representative 48th Representative District","Oldham","Ken FLEMING","Republican","2083"
"State Representative 48th Representative District","Oldham","Maria SOROLIS","Democratic","1195"
"State Representative 48th Representative District","TotalVotes","Ken FLEMING","Republican","15677"
"State Representative 48th Representative District","TotalVotes","Maria SOROLIS","Democratic","15014"
