"Race","County","Candidate","Party","Votes"
"State Representative 90th Representative District","Clay","Derek LEWIS","Republican","4869"
"State Representative 90th Representative District","Clay","Ralph HOSKINS","Democratic","2697"
"State Representative 90th Representative District","Laurel","Derek LEWIS","Republican","3641"
"State Representative 90th Representative District","Laurel","Ralph HOSKINS","Democratic","1036"
"State Representative 90th Representative District","Leslie","Derek LEWIS","Republican","4146"
"State Representative 90th Representative District","Leslie","Ralph HOSKINS","Democratic","628"
"State Representative 90th Representative District","TotalVotes","Derek LEWIS","Republican","12656"
"State Representative 90th Representative District","TotalVotes","Ralph HOSKINS","Democratic","4361"
