"Race","County","Candidate","Party","Votes"
"State Representative 5th Representative District","Calloway","Mary Beth IMES","Republican","11540"
"State Representative 5th Representative District","Calloway","Shannon DAVISROBERTS","Democratic","5670"
"State Representative 5th Representative District","Trigg","Mary Beth IMES","Republican","3315"
"State Representative 5th Representative District","Trigg","Shannon DAVISROBERTS","Democratic","1056"
"State Representative 5th Representative District","TotalVotes","Mary Beth IMES","Republican","14855"
"State Representative 5th Representative District","TotalVotes","Shannon DAVISROBERTS","Democratic","6726"
