"Race","County","Candidate","Party","Votes"
"State Representative 26th Representative District","Bullitt","Russell WEBBER","Republican","13186"
"State Representative 26th Representative District","Bullitt","Randall DANIEL","Libertarian","2679"
"State Representative 26th Representative District","Hardin","Russell WEBBER","Republican","2404"
"State Representative 26th Representative District","Hardin","Randall DANIEL","Libertarian","1134"
"State Representative 26th Representative District","TotalVotes","Russell WEBBER","Republican","15590"
"State Representative 26th Representative District","TotalVotes","Randall DANIEL","Libertarian","3813"
