"Race","County","Candidate","Party","Votes"
"State Representative 38th Representative District","Jefferson","McKenzie CANTRELL","Democratic","10779"
"State Representative 38th Representative District","TotalVotes","McKenzie CANTRELL","Democratic","10779"
