"Race","County","Candidate","Party","Votes"
"State Representative 17th Representative District","Butler","Steve SHELDON","Republican","5420"
"State Representative 17th Representative District","Warren","Steve SHELDON","Republican","15928"
"State Representative 17th Representative District","TotalVotes","Steve SHELDON","Republican","21348"
