"Race","County","Candidate","Party","Votes"
"State Representative 19th Representative District","Edmonson","Michael Lee MEREDITH","Republican","4893"
"State Representative 19th Representative District","Edmonson","Daniel Wayne JOHNSON","Democratic","1096"
"State Representative 19th Representative District","Warren","Michael Lee MEREDITH","Republican","9745"
"State Representative 19th Representative District","Warren","Daniel Wayne JOHNSON","Democratic","5373"
"State Representative 19th Representative District","TotalVotes","Michael Lee MEREDITH","Republican","14638"
"State Representative 19th Representative District","TotalVotes","Daniel Wayne JOHNSON","Democratic","6469"
