"Race","County","Candidate","Party","Votes"
"State Representative 56th Representative District","Fayette","Daniel A FISTER","Republican","1829"
"State Representative 56th Representative District","Fayette","Lamar ALLEN","Democratic","2977"
"State Representative 56th Representative District","Franklin","Daniel A FISTER","Republican","2064"
"State Representative 56th Representative District","Franklin","Lamar ALLEN","Democratic","2024"
"State Representative 56th Representative District","Woodford","Daniel A FISTER","Republican","8594"
"State Representative 56th Representative District","Woodford","Lamar ALLEN","Democratic","6374"
"State Representative 56th Representative District","TotalVotes","Daniel A FISTER","Republican","12487"
"State Representative 56th Representative District","TotalVotes","Lamar ALLEN","Democratic","11375"
