"Race","County","Candidate","Party","Votes"
"State Representative 22nd Representative District","Allen","Shawn McPHERSON","Republican","6637"
"State Representative 22nd Representative District","Allen","David R YOUNG","Democratic","2617"
"State Representative 22nd Representative District","Simpson","Shawn McPHERSON","Republican","5623"
"State Representative 22nd Representative District","Simpson","David R YOUNG","Democratic","2988"
"State Representative 22nd Representative District","Warren","Shawn McPHERSON","Republican","2257"
"State Representative 22nd Representative District","Warren","David R YOUNG","Democratic","822"
"State Representative 22nd Representative District","TotalVotes","Shawn McPHERSON","Republican","14517"
"State Representative 22nd Representative District","TotalVotes","David R YOUNG","Democratic","6427"
