"Race","County","Candidate","Party","Votes"
"State Representative 97th Representative District","Johnson","Bobby W McCOOL","Republican","8666"
"State Representative 97th Representative District","Johnson","Will HURST","Democratic","1432"
"State Representative 97th Representative District","Morgan","Bobby W McCOOL","Republican","4084"
"State Representative 97th Representative District","Morgan","Will HURST","Democratic","1320"
"State Representative 97th Representative District","Wolfe","Bobby W McCOOL","Republican","1709"
"State Representative 97th Representative District","Wolfe","Will HURST","Democratic","1219"
"State Representative 97th Representative District","TotalVotes","Bobby W McCOOL","Republican","14459"
"State Representative 97th Representative District","TotalVotes","Will HURST","Democratic","3971"
