"Race","County","Candidate","Party","Votes"
"State Representative 41st Representative District","Jefferson","Attica Woodson SCOTT","Democratic","13993"
"State Representative 41st Representative District","TotalVotes","Attica Woodson SCOTT","Democratic","13993"
