"Race","County","Candidate","Party","Votes"
"State Representative 55th Representative District","Jessamine","Kim KING","Republican","5963"
"State Representative 55th Representative District","Jessamine","Dylan FRANZ","WriteIn","7"
"State Representative 55th Representative District","Mercer","Kim KING","Republican","9434"
"State Representative 55th Representative District","Mercer","Dylan FRANZ","WriteIn","39"
"State Representative 55th Representative District","Washington","Kim KING","Republican","4978"
"State Representative 55th Representative District","Washington","Dylan FRANZ","WriteIn","0"
"State Representative 55th Representative District","TotalVotes","Kim KING","Republican","20375"
"State Representative 55th Representative District","TotalVotes","Dylan FRANZ","WriteIn","46"
