"Race","County","Candidate","Party","Votes"
"State Representative 91st Representative District","Breathitt","Billy WESLEY","Republican","3022"
"State Representative 91st Representative District","Breathitt","Paula CLEMONSCOMBS","Democratic","2542"
"State Representative 91st Representative District","Estill","Billy WESLEY","Republican","5017"
"State Representative 91st Representative District","Estill","Paula CLEMONSCOMBS","Democratic","1460"
"State Representative 91st Representative District","Lee","Billy WESLEY","Republican","2147"
"State Representative 91st Representative District","Lee","Paula CLEMONSCOMBS","Democratic","584"
"State Representative 91st Representative District","Madison","Billy WESLEY","Republican","570"
"State Representative 91st Representative District","Madison","Paula CLEMONSCOMBS","Democratic","200"
"State Representative 91st Representative District","Owsley","Billy WESLEY","Republican","1518"
"State Representative 91st Representative District","Owsley","Paula CLEMONSCOMBS","Democratic","287"
"State Representative 91st Representative District","TotalVotes","Billy WESLEY","Republican","12274"
"State Representative 91st Representative District","TotalVotes","Paula CLEMONSCOMBS","Democratic","5073"
