"Race","County","Candidate","Party","Votes"
"State Representative 23rd Representative District","Barren","Steve RILEY","Republican","15241"
"State Representative 23rd Representative District","Barren","Steve JONES","Democratic","4182"
"State Representative 23rd Representative District","Barren","Tim FILBACK","Libertarian","352"
"State Representative 23rd Representative District","Warren","Steve RILEY","Republican","157"
"State Representative 23rd Representative District","Warren","Steve JONES","Democratic","44"
"State Representative 23rd Representative District","Warren","Tim FILBACK","Libertarian","2"
"State Representative 23rd Representative District","TotalVotes","Steve RILEY","Republican","15398"
"State Representative 23rd Representative District","TotalVotes","Steve JONES","Democratic","4226"
"State Representative 23rd Representative District","TotalVotes","Tim FILBACK","Libertarian","354"
